symbol,date,time,open,high,low,close,volume,amt
510300.SH,2021/6/1,15:00,5.251054722,5.267793505,5.190007395,5.263854968,454422832,2415673328
510300.SH,2021/6/2,15:00,5.268778139,5.274685945,5.194930567,5.221515693,577607088,3069526944
510300.SH,2021/6/3,15:00,5.21856179,5.241208379,5.179176418,5.181145687,443276400,2344157008
510300.SH,2021/6/4,15:00,5.169330075,5.269762774,5.152591292,5.213638619,558117760,2951205184
510300.SH,2021/6/7,15:00,5.213638619,5.216592521,5.170314709,5.207730813,265277430,1399803056
510300.SH,2021/6/8,15:00,5.207730813,5.257947162,5.132898606,5.166376172,454203712,2392039776
510300.SH,2021/6/9,15:00,5.152591292,5.185084224,5.150622023,5.174253247,259513156,1362104032
510300.SH,2021/6/10,15:00,5.168345441,5.242193013,5.167360806,5.207730813,404112576,2139819984
510300.SH,2021/6/11,15:00,5.21166935,5.22545423,5.155545195,5.159483732,337555808,1774141744
510300.SH,2021/6/15,15:00,5.159483732,5.169330075,5.074805182,5.101390308,431236592,2237735904
510300.SH,2021/6/16,15:00,5.095482503,5.103359577,5.015727124,5.031481273,557301696,2861614496
510300.SH,2021/6/17,15:00,5.02163493,5.064958839,5.018681027,5.04231225,342210448,1752532816
510300.SH,2021/6/18,15:00,5.041327616,5.075789817,5.010803953,5.047235422,523765664,2681620832
510300.SH,2021/6/21,15:00,5.029512004,5.075789817,5.008834684,5.040342982,449263056,2297972208
510300.SH,2021/6/22,15:00,5.061020302,5.071851279,5.032465907,5.065943474,678314192,3481237664
510300.SH,2021/6/23,15:00,5.072835914,5.123052263,5.057081765,5.096467137,586465216,3034353440
510300.SH,2021/6/24,15:00,5.100405674,5.110252017,5.075789817,5.109267383,217509708,1125515424
510300.SH,2021/6/25,15:00,5.11320592,5.207730813,5.111236651,5.189022761,619258656,3253306016
510300.SH,2021/6/28,15:00,5.196899835,5.208715447,5.176222515,5.19788447,445496480,2349760656
510300.SH,2021/6/29,15:00,5.19788447,5.19788447,5.134867875,5.144714218,290185648,1520211072
510300.SH,2021/6/30,15:00,5.145698852,5.186068858,5.144714218,5.175237881,371170976,1948238480
510300.SH,2021/7/1,15:00,5.191976664,5.202807641,5.141760315,5.173268612,564373856,2964560976
510300.SH,2021/7/2,15:00,5.139791046,5.141760315,5.032465907,5.034435176,442235984,2278045472
510300.SH,2021/7/5,15:00,5.034435176,5.053143228,5.011788587,5.041327616,257570313,1316062240
510300.SH,2021/7/6,15:00,5.041327616,5.051173959,4.993080535,5.048220056,381688736,1946038944
510300.SH,2021/7/7,15:00,5.026558102,5.122067629,5.018681027,5.100405674,349465136,1802156512
510300.SH,2021/7/8,15:00,5.109267383,5.116159823,5.04231225,5.057081765,328035040,1689688928
510300.SH,2021/7/9,15:00,5.041327616,5.04920469,4.978311021,5.033450542,426231920,2174685024
